Player,Games Played,Starts,Subbed off,Minutes Played,Passes,Passing Acc,Long Passes,Long Pass Acc,Pass per 90,Forward Passes,Backward Passes,Left Pass,Right Pass,Passing Acc Opponents Half,Passing Acc Own Half,Assists,Key Passes,Crosses,Crossing Acc,Shots,Shots on Target,Goals,Right Foot Goals,Left Foot Goals,Heading Goals,Other,Goals In Box,Goals Out Box,Free Kick Goals,Conversion Rate,Mins Per Goal,Clears,Blocks,Interceptions,Tackles,Tackles Won,Duels,Duels Won,Air Duels,Air Duels Won,Yellow Cards,Red Cards,Fouls Won,Fouls Conceded,Goals Conceded,Shot At,Saves,Save Rate,Clean Sheets,Catches,Punches,Drops,Penalties Saved,Clearances,Team,Subbed on
Jamal Jack,7.0,7.0,0.0,630.0,269.0,72.9,76.0,38.2,38.4,137.0,12.0,56.0,64.0,55.6,88.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,4.0,7.0,4.0,60.0,38.0,33.0,24.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
Jordan Burt,8.0,8.0,0.0,720.0,255.0,76.9,37.0,43.2,31.9,84.0,40.0,89.0,42.0,70.1,83.7,0.0,7.0,7.0,14.3,12.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,25.0,240.0,15.0,0.0,12.0,20.0,13.0,79.0,42.0,28.0,12.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
Jordan Schweitzer,7.0,7.0,0.0,630.0,314.0,84.1,36.0,61.1,44.9,95.0,57.0,89.0,73.0,74.3,92.1,1.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,630.0,3.0,3.0,10.0,9.0,8.0,54.0,31.0,10.0,8.0,1.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
Kofi Opare,2.0,2.0,1.0,157.0,98.0,94.9,4.0,50.0,56.2,37.0,5.0,42.0,14.0,88.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,7.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
Kristoffer Reaves,5.0,4.0,1.0,380.0,235.0,86.0,44.0,45.5,55.7,83.0,16.0,53.0,83.0,67.1,93.4,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,11.0,8.0,32.0,19.0,7.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,1.0
Kwasi Donsu,5.0,2.0,2.0,157.0,42.0,73.8,9.0,77.8,24.1,16.0,11.0,7.0,8.0,69.0,84.6,0.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,28.0,12.0,10.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,3.0
Logan Hitzeman,1.0,0.0,0.0,3.0,1.0,100.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,1.0
Matthew Hundley,7.0,4.0,3.0,340.0,80.0,81.3,3.0,100.0,21.2,18.0,23.0,10.0,29.0,64.6,95.8,0.0,2.0,3.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,55.0,25.0,5.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,3.0
Mike Seth,8.0,7.0,3.0,633.0,131.0,72.5,2.0,50.0,18.6,28.0,38.0,37.0,28.0,69.6,80.0,2.0,8.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,94.0,20.0,63.0,14.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,1.0
Rony Argueta,8.0,8.0,0.0,720.0,421.0,89.1,34.0,67.6,52.6,143.0,54.0,112.0,112.0,84.3,94.5,1.0,8.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,11.0,8.0,5.0,97.0,51.0,15.0,6.0,2.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
Saeed Robinson,3.0,3.0,3.0,212.0,54.0,79.6,5.0,60.0,22.9,8.0,15.0,6.0,25.0,70.0,80.0,0.0,3.0,6.0,16.7,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,29.0,11.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
